Product Id,Product Type,Product,Type,Market Size,Market,State,Budget Sales,Budget Profit,Cogs,Profit,Sales,Total Expenses,Date
2,Coffee,Columbian,Regular,Major Market,East,New York,640,260,271,262,678,145,01-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,East,New York,370,100,245,111,483,127,01-01-2010
10,Herbal Tea,Mint,Decaf,Major Market,East,New York,140,-70,207,-113,180,86,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,South,Louisiana,150,80,67,70,180,43,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,South,Louisiana,120,50,61,48,150,41,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,South,Louisiana,100,40,49,35,112,28,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,South,Louisiana,180,40,85,40,190,65,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,South,Louisiana,150,10,75,8,180,97,01-01-2010
2,Coffee,Columbian,Regular,Small Market,South,Louisiana,100,50,34,30,85,21,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,South,Louisiana,100,50,33,28,81,20,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,South,New Mexico,70,-10,37,-10,90,63,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,South,New Mexico,70,10,35,9,82,38,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,South,New Mexico,40,20,18,11,45,16,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,South,New Mexico,60,20,28,4,62,30,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,South,New Mexico,50,0,29,-8,65,44,01-01-2010
2,Coffee,Columbian,Regular,Small Market,South,New Mexico,150,50,48,26,120,46,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,South,New Mexico,120,-30,88,-39,99,50,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,South,Oklahoma,60,40,32,28,80,20,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,South,Oklahoma,180,70,84,67,210,59,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,South,Oklahoma,110,20,54,13,120,53,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,South,Oklahoma,180,30,79,10,190,101,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,South,Oklahoma,170,70,84,66,200,50,01-01-2010
2,Coffee,Columbian,Regular,Small Market,South,Oklahoma,120,50,44,29,100,27,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,South,Oklahoma,100,50,32,28,80,20,01-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,South,Texas,180,90,89,95,219,35,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Major Market,South,Texas,110,60,54,54,134,26,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Major Market,South,Texas,130,50,60,33,140,47,01-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,South,Texas,130,50,57,42,140,41,01-01-2010
4,Espresso,Caffe Latte,Regular,Major Market,South,Texas,150,50,72,53,180,55,01-01-2010
2,Coffee,Columbian,Regular,Major Market,South,Texas,560,220,207,159,452,86,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Major Market,South,Texas,230,100,83,68,190,39,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,West,Utah,100,40,46,44,114,24,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,West,Utah,100,40,49,34,112,29,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Utah,110,50,50,47,123,26,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Utah,80,30,38,21,93,34,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,West,Utah,100,30,48,25,120,47,01-01-2010
10,Herbal Tea,Mint,Decaf,Small Market,West,Utah,80,-30,88,-40,99,51,01-01-2010
11,Tea,Darjeeling,Regular,Small Market,West,Utah,60,0,37,-10,90,63,01-01-2010
12,Tea,Earl Grey,Regular,Small Market,West,Utah,50,10,35,9,82,38,01-01-2010
13,Tea,Green Tea,Regular,Small Market,West,Utah,40,10,29,-9,65,45,01-01-2010
1,Coffee,Amaretto,Regular,Small Market,West,Utah,210,80,78,47,170,45,01-01-2010
2,Coffee,Columbian,Regular,Small Market,West,Utah,160,70,55,30,130,45,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Utah,230,70,85,39,190,66,01-01-2010
4,Espresso,Caffe Latte,Regular,Major Market,West,California,430,150,228,140,456,88,01-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,West,California,240,20,105,17,250,128,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Major Market,West,California,520,200,234,203,546,109,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Major Market,West,California,200,100,95,102,234,37,01-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,West,California,390,160,207,160,452,85,01-01-2010
10,Herbal Tea,Mint,Decaf,Major Market,West,California,160,60,83,67,190,40,01-01-2010
11,Tea,Darjeeling,Regular,Major Market,West,California,140,80,89,94,219,36,01-01-2010
12,Tea,Earl Grey,Regular,Major Market,West,California,90,60,54,54,134,26,01-01-2010
13,Tea,Green Tea,Regular,Major Market,West,California,120,50,72,54,180,54,01-01-2010
1,Coffee,Amaretto,Regular,Major Market,West,California,180,30,95,-2,145,52,01-01-2010
2,Coffee,Columbian,Regular,Major Market,West,California,840,370,271,262,678,145,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Major Market,West,California,140,-120,144,-117,118,91,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,West,Nevada,40,20,17,11,43,15,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,West,Nevada,40,20,18,10,45,17,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Nevada,40,20,17,11,43,15,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Nevada,70,20,28,4,62,30,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Nevada,220,30,105,16,250,129,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,West,Nevada,300,120,144,111,345,90,01-01-2010
10,Herbal Tea,Mint,Decaf,Small Market,West,Nevada,200,90,95,86,234,53,01-01-2010
11,Tea,Darjeeling,Regular,Small Market,West,Nevada,370,150,234,203,546,109,01-01-2010
12,Tea,Earl Grey,Regular,Small Market,West,Nevada,310,100,228,141,456,87,01-01-2010
13,Tea,Green Tea,Regular,Small Market,West,Nevada,0,-240,245,-354,17,126,01-01-2010
2,Coffee,Columbian,Regular,Small Market,West,Nevada,90,10,34,-3,76,45,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,West,Oregon,120,20,58,16,130,56,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,West,Oregon,130,50,60,33,140,47,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Oregon,320,100,170,99,341,72,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Oregon,170,70,57,42,140,41,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Oregon,70,40,36,33,90,21,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,West,Oregon,80,30,44,29,100,27,01-01-2010
11,Tea,Darjeeling,Regular,Small Market,West,Oregon,50,30,32,28,80,20,01-01-2010
12,Tea,Earl Grey,Regular,Small Market,West,Oregon,140,60,84,68,210,58,01-01-2010
13,Tea,Green Tea,Regular,Small Market,West,Oregon,130,50,84,67,200,49,01-01-2010
1,Coffee,Amaretto,Regular,Small Market,West,Oregon,180,40,63,1,150,86,01-01-2010
2,Coffee,Columbian,Regular,Small Market,West,Oregon,200,60,67,28,160,65,01-01-2010
4,Espresso,Caffe Latte,Regular,Small Market,West,Washington,100,40,48,35,110,27,01-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,West,Washington,110,20,54,13,120,53,01-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,West,Washington,140,60,69,39,150,42,01-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,West,Washington,230,60,79,9,190,102,01-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,West,Washington,270,120,124,115,310,71,01-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,West,Washington,70,50,34,30,85,21,01-01-2010
11,Tea,Darjeeling,Regular,Small Market,West,Washington,120,50,67,70,180,43,01-01-2010
12,Tea,Earl Grey,Regular,Small Market,West,Washington,100,40,61,48,150,41,01-01-2010
13,Tea,Green Tea,Regular,Small Market,West,Washington,120,20,75,8,180,97,01-01-2010
2,Coffee,Columbian,Regular,Small Market,West,Washington,160,70,53,38,130,39,01-01-2010
1,Coffee,Amaretto,Regular,Major Market,Central,Colorado,250,120,99,105,243,39,02-01-2010
2,Coffee,Columbian,Regular,Major Market,Central,Colorado,190,80,83,68,190,39,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Colorado,240,110,95,99,232,38,02-01-2010
13,Tea,Green Tea,Regular,Major Market,Central,Colorado,80,30,44,30,100,26,02-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Colorado,220,110,77,80,189,32,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Colorado,220,90,75,59,189,55,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Colorado,290,100,170,99,340,71,02-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Colorado,110,10,54,-3,129,78,02-01-2010
10,Herbal Tea,Mint,Decaf,Major Market,Central,Colorado,120,40,60,33,140,47,02-01-2010
11,Tea,Darjeeling,Regular,Major Market,Central,Colorado,110,10,59,18,132,55,02-01-2010
12,Tea,Earl Grey,Regular,Major Market,Central,Colorado,110,30,62,34,136,40,02-01-2010
2,Coffee,Columbian,Regular,Major Market,Central,Illinois,370,140,148,115,354,91,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Illinois,260,100,104,95,254,55,02-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Illinois,640,260,234,201,545,110,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Illinois,530,180,228,142,457,87,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Illinois,210,110,99,105,243,39,02-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Illinois,160,60,83,68,190,39,02-01-2010
10,Herbal Tea,Mint,Decaf,Major Market,Central,Illinois,200,100,95,99,232,38,02-01-2010
11,Tea,Darjeeling,Regular,Major Market,Central,Illinois,160,80,77,79,189,33,02-01-2010
12,Tea,Earl Grey,Regular,Major Market,Central,Illinois,160,50,75,59,189,55,02-01-2010
1,Coffee,Amaretto,Regular,Small Market,Central,Iowa,40,20,18,10,45,17,02-01-2010
2,Coffee,Columbian,Regular,Small Market,Central,Iowa,60,20,28,6,63,29,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Iowa,50,20,23,12,54,19,02-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Iowa,50,20,19,11,47,17,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Iowa,50,40,0,32,43,11,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Iowa,470,190,234,201,545,110,02-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Iowa,220,110,104,95,254,55,02-01-2010
11,Tea,Darjeeling,Regular,Small Market,Central,Iowa,400,140,228,141,457,88,02-01-2010
12,Tea,Earl Grey,Regular,Small Market,Central,Iowa,460,150,240,169,534,125,02-01-2010
2,Coffee,Columbian,Regular,Small Market,Central,Missouri,200,50,86,42,193,65,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Missouri,170,60,75,46,165,44,02-01-2010
13,Tea,Green Tea,Regular,Small Market,Central,Missouri,60,0,33,-4,74,45,02-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Missouri,140,70,50,48,123,25,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Missouri,120,60,42,38,103,23,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Missouri,90,10,43,-8,104,69,02-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Missouri,80,-20,84,-32,102,50,02-01-2010
11,Tea,Darjeeling,Regular,Small Market,Central,Missouri,70,10,35,9,82,38,02-01-2010
12,Tea,Earl Grey,Regular,Small Market,Central,Missouri,50,-10,30,-7,68,45,02-01-2010
1,Coffee,Amaretto,Regular,Major Market,Central,Ohio,140,50,60,33,140,47,02-01-2010
2,Coffee,Columbian,Regular,Major Market,Central,Ohio,130,50,52,38,128,38,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Ohio,130,20,54,-3,129,78,02-01-2010
11,Tea,Darjeeling,Regular,Major Market,Central,Ohio,170,60,80,62,200,58,02-01-2010
12,Tea,Earl Grey,Regular,Major Market,Central,Ohio,180,70,86,71,206,49,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Ohio,150,40,59,18,132,55,02-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Ohio,400,140,170,98,340,72,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Ohio,40,30,22,17,56,17,02-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Ohio,70,50,32,28,80,20,02-01-2010
1,Coffee,Amaretto,Regular,Small Market,Central,Wisconsin,120,30,53,12,118,53,02-01-2010
2,Coffee,Columbian,Regular,Small Market,Central,Wisconsin,230,40,92,15,220,113,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Wisconsin,180,60,77,50,180,53,02-01-2010
11,Tea,Darjeeling,Regular,Small Market,Central,Wisconsin,120,50,56,41,137,40,02-01-2010
12,Tea,Earl Grey,Regular,Small Market,Central,Wisconsin,130,10,65,3,155,87,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Wisconsin,120,50,48,35,110,27,02-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Wisconsin,180,60,70,42,154,42,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Wisconsin,150,80,65,66,174,43,02-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Wisconsin,100,50,47,43,115,25,02-01-2010
11,Tea,Darjeeling,Regular,Small Market,East,Connecticut,130,60,50,48,123,25,02-01-2010
13,Tea,Green Tea,Regular,Small Market,East,Connecticut,70,40,27,21,66,18,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,East,Connecticut,120,40,55,29,130,46,02-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,East,Connecticut,150,20,65,3,155,87,02-01-2010
2,Coffee,Columbian,Regular,Small Market,East,Connecticut,300,130,130,121,325,74,02-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,East,Connecticut,150,50,86,41,193,66,02-01-2010
10,Herbal Tea,Mint,Decaf,Small Market,East,Connecticut,120,50,75,46,165,44,02-01-2010
11,Tea,Darjeeling,Regular,Major Market,East,Florida,80,40,32,28,80,20,02-01-2010
13,Tea,Green Tea,Regular,Major Market,East,Florida,120,60,47,44,115,24,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Major Market,East,Florida,170,60,77,51,180,52,02-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,East,Florida,210,40,92,16,220,112,02-01-2010
3,Coffee,Decaf Irish Cream,Decaf,Major Market,East,Florida,190,70,86,71,206,49,02-01-2010
2,Coffee,Columbian,Regular,Major Market,East,Florida,190,80,80,63,200,57,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Major Market,East,Florida,80,30,48,34,110,28,02-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,East,Florida,90,20,53,12,118,53,02-01-2010
10,Herbal Tea,Mint,Decaf,Major Market,East,Florida,120,50,70,42,154,42,02-01-2010
11,Tea,Darjeeling,Regular,Major Market,East,Massachusetts,80,40,32,28,80,20,02-01-2010
13,Tea,Green Tea,Regular,Major Market,East,Massachusetts,60,30,22,17,56,17,02-01-2010
7,Espresso,Regular Espresso,Regular,Major Market,East,Massachusetts,330,110,170,99,340,71,02-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,East,Massachusetts,120,10,54,-4,128,78,02-01-2010
2,Coffee,Columbian,Regular,Major Market,East,Massachusetts,440,330,75,340,470,55,02-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,East,Massachusetts,100,30,59,18,132,55,02-01-2010
11,Tea,Darjeeling,Regular,Small Market,East,New Hampshire,40,20,18,11,45,16,02-01-2010
13,Tea,Green Tea,Regular,Small Market,East,New Hampshire,40,30,0,32,43,11,02-01-2010
7,Espresso,Regular Espresso,Regular,Small Market,East,New Hampshire,60,0,30,-6,68,44,02-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,East,New Hampshire,100,10,43,-7,104,68,02-01-2010
1,Coffee,Amaretto,Regular,Small Market,East,New Hampshire,90,40,41,25,101,35,02-01-2010
2,Coffee,Columbian,Regular,Small Market,East,New Hampshire,100,30,45,23,114,46,02-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,East,New Hampshire,50,0,33,-4,74,45,02-01-2010
11,Tea,Darjeeling,Regular,Major Market,East,New York,250,120,95,100,232,37,02-01-2010
12,Tea,Earl Grey,Regular,Major Market,East,New York,260,130,99,105,243,39,02-01-2010
13,Tea,Green Tea,Regular,Major Market,East,New York,200,90,77,79,189,33,02-01-2010
7,Espresso,Regular Espresso,Regular,Major Market,East,New York,560,280,228,264,580,88,02-01-2010
5,Espresso,Caffe Mocha,Regular,Major Market,East,New York,50,-190,121,-203,61,143,02-01-2010
2,Coffee,Columbian,Regular,Major Market,East,New York,610,250,258,245,645,142,02-01-2010
9,Herbal Tea,Lemon,Decaf,Major Market,East,New York,380,110,240,131,495,124,02-01-2010
10,Herbal Tea,Mint,Decaf,Major Market,East,New York,140,-80,213,-120,180,87,02-01-2010
5,Espresso,Caffe Mocha,Regular,Small Market,South,Louisiana,140,70,65,65,174,44,02-01-2010
6,Espresso,Decaf Espresso,Decaf,Small Market,South,Louisiana,110,50,56,41,137,40,02-01-2010
8,Herbal Tea,Chamomile,Decaf,Small Market,South,Louisiana,100,40,49,35,112,28,02-01-2010
9,Herbal Tea,Lemon,Decaf,Small Market,South,Louisiana,180,40,86,42,193,65,02-01-2010
